TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
TB20Y0128,2026-08-11,0,0,0,0,0
TB20Y0129,2026-08-11,0,0,0,0,0
TB20Y0131,2026-08-11,0,0,0,0,0
TB20Y0132,2026-08-11,0,0,0,0,0
TB20Y0133,2026-08-11,0,0,0,0,0
TB20Y0134,2026-08-11,0,0,0,0,0
TB20Y0143,2026-08-11,0,0,0,0,0
TB20Y0228,2026-08-11,0,0,0,0,0
TB20Y0229,2026-08-11,0,0,0,0,0
TB20Y0230,2026-08-11,0,0,0,0,0
TB20Y0231,2026-08-11,0,0,0,0,0
TB20Y0232,2026-08-11,0,0,0,0,0
TB20Y0233,2026-08-11,0,0,0,0,0
TB20Y0234,2026-08-11,0,0,0,0,0
TB20Y0328,2026-08-11,0,0,0,0,0
TB20Y0329,2026-08-11,0,0,0,0,0
TB20Y0330,2026-08-11,0,0,0,0,0
TB20Y0331,2026-08-11,0,0,0,0,0
TB20Y0332,2026-08-11,0,0,0,0,0
TB20Y0333,2026-08-11,0,0,0,0,0
TB20Y0334,2026-08-11,0,0,0,0,0
TB20Y0342,2026-08-11,0,0,0,0,0
TB20Y0428,2026-08-11,0,0,0,0,0
TB20Y0429,2026-08-11,0,0,0,0,0
TB20Y0430,2026-08-11,0,0,0,0,0
TB20Y0431,2026-08-11,0,0,0,0,0
TB20Y0432,2026-08-11,0,0,0,0,0
TB20Y0433,2026-08-11,0,0,0,0,0
TB20Y0434,2026-08-11,0,0,0,0,0
TB20Y0436,2026-08-11,0,0,0,0,0
TB20Y0528,2026-08-11,0,0,0,0,0
TB20Y0529,2026-08-11,0,0,0,0,0
TB20Y0530,2026-08-11,0,0,0,0,0
TB20Y0531,2026-08-11,0,0,0,0,0
TB20Y0532,2026-08-11,0,0,0,0,0
TB20Y0533,2026-08-11,0,0,0,0,0
TB20Y0534,2026-08-11,0,0,0,0,0
TB20Y0540,2026-08-11,0,0,0,0,0
TB20Y0545,2026-08-11,0,0,0,0,0
TB20Y0628,2026-08-11,0,0,0,0,0
TB20Y0629,2026-08-11,0,0,0,0,0
TB20Y0630,2026-08-11,0,0,0,0,0
TB20Y0631,2026-08-11,0,0,0,0,0
TB20Y0632,2026-08-11,0,0,0,0,0
TB20Y0633,2026-08-11,0,0,0,0,0
TB20Y0634,2026-08-11,0,0,0,0,0
TB20Y0639,2026-08-11,0,0,0,0,0
TB20Y0640,2026-08-11,0,0,0,0,0
TB20Y0641,2026-08-11,0,0,0,0,0
TB20Y0642,2026-08-11,0,0,0,0,0
TB20Y0727,2026-08-11,0,0,0,0,0
TB20Y0728,2026-08-11,0,0,0,0,0
TB20Y0729,2026-08-11,0,0,0,0,0
TB20Y0730,2026-08-11,0,0,0,0,0
TB20Y0731,2026-08-11,0,0,0,0,0
TB20Y0732,2026-08-11,0,0,0,0,0
TB20Y0733,2026-08-11,0,0,0,0,0
TB20Y0734,2026-08-11,0,0,0,0,0
TB20Y0735,2026-08-11,0,0,0,0,0
TB20Y0744,2026-08-11,0,0,0,0,0
TB20Y0827,2026-08-11,0,0,0,0,0
TB20Y0828,2026-08-11,0,0,0,0,0
TB20Y0829,2026-08-11,0,0,0,0,0
TB20Y0830,2026-08-11,0,0,0,0,0
TB20Y0831,2026-08-11,0,0,0,0,0
TB20Y0832,2026-08-11,0,0,0,0,0
TB20Y0833,2026-08-11,0,0,0,0,0
TB20Y0834,2026-08-11,0,0,0,0,0
TB20Y0845,2026-08-11,0,0,0,0,0
TB20Y0927,2026-08-11,0,0,0,0,0
TB20Y0928,2026-08-11,0,0,0,0,0
TB20Y0930,2026-08-11,0,0,0,0,0
TB20Y0931,2026-08-11,0,0,0,0,0
TB20Y0932,2026-08-11,0,0,0,0,0
TB20Y0933,2026-08-11,0,0,0,0,0
TB20Y0934,2026-08-11,0,0,0,0,0
TB20Y1027,2026-08-11,0,0,0,0,0
TB20Y1028,2026-08-11,0,0,0,0,0
TB20Y1029,2026-08-11,0,0,0,0,0
TB20Y1030,2026-08-11,0,0,0,0,0
TB20Y1031,2026-08-11,0,0,0,0,0
TB20Y1032,2026-08-11,0,0,0,0,0
